dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t1r3,DeepSAP,0.18611879553288171,0.185877660607821,0.18636011215158443,9999999,1861187.7692100217
baruzzo_human_t1r3,DRAGEN,0.17572559605005983,0.17548980426661068,0.17596157554335767,9999999,1757255.7847750022
baruzzo_human_t1r3,novoSplice,0.17328271627757175,0.17304822369261605,0.1735173979864643,9999999,1732826.9894930013
baruzzo_human_t1r3,STAR,0.176159739027774,0.17592371811711197,0.17639594739697623,9999999,1761597.2141180008
baruzzo_human_t1r3,HISAT2,0.18183466407566806,0.18159569613979945,0.18207381618508356,9999999,1818346.4589220167
baruzzo_human_t1r3,Subjunc,0.1816472254196231,0.18140835341538025,0.18188628170591384,9999999,1816472.0725490057
