dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t2r3,DeepSAP,0.9382140218398236,0.9379290799590082,0.9384980418322356,2751579,2581570
baruzzo_malaria_t2r3,DRAGEN,0.9527635224004913,0.9524873578079596,0.9530385356376416,2276334,2168808
baruzzo_malaria_t2r3,novoSplice,0.9397409137152125,0.9394565536663442,0.9400243307038976,2699178,2536528
baruzzo_malaria_t2r3,STAR,0.940616758312792,0.9403041959508401,0.9409281636941758,2204494,2073584
baruzzo_malaria_t2r3,HISAT2,0.9633296837440336,0.9630059804933789,0.9636513291864389,1303343,1255549
baruzzo_malaria_t2r3,Subjunc,0.946879383794801,0.9466119004394128,0.9471459127018063,2710266,2566295
