dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t1r3,DeepSAP,0.8154645336860042,0.8146059915350415,0.8163207536801595,786380,641265
baruzzo_malaria_t1r3,DRAGEN,0.6844718838220708,0.6834440685423478,0.6854983411910238,786380,538255
baruzzo_malaria_t1r3,novoSplice,0.8151491645260561,0.8142900571700706,0.8160059520466932,786380,641017
baruzzo_malaria_t1r3,STAR,0.6427414227218393,0.6416817882517489,0.6438000064620502,786380,505439
baruzzo_malaria_t1r3,HISAT2,0.6293344184745289,0.6282664542347516,0.630401430674352,786380,494896
baruzzo_malaria_t1r3,Subjunc,0.8573806556626568,0.8566064682188385,0.8581522124023652,786380,674227
