dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t3r2,DeepSAP,0.5906484393842449,0.5903082478527731,0.5909885655460113,8027088,4741187
baruzzo_malaria_t3r2,DRAGEN,0.4042168218412455,0.40387737158479153,0.4045563411702598,8027088,3244684
baruzzo_malaria_t3r2,novoSplice,0.4810099253926206,0.4806642909965293,0.4813555734830759,8027088,3861109
baruzzo_malaria_t3r2,STAR,0.20488064912207266,0.20460154251344911,0.2051599685514718,8027088,1644595
baruzzo_malaria_t3r2,HISAT2,0.008309862804543815,0.008247240767989524,0.008372839415606508,8027088,66704
baruzzo_malaria_t3r2,Subjunc,0.14663163029980486,0.14638704803185648,0.14687646739389829,8027088,1177025
