dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t2r2,DeepSAP,0.9927099849618936,0.9926963756214091,0.9927235753271473,150306823,149211084
baruzzo_malaria_t2r2,DRAGEN,0.8889156845175322,0.8888665541383513,0.8889648005750318,157193965,139732181
baruzzo_malaria_t2r2,novoSplice,0.9999990529112156,0.9999988814552313,0.9999992037642632,140430340,140430207
baruzzo_malaria_t2r2,STAR,0.05051886378787984,0.050510628002220885,0.05052710053141728,2716286110,137223688
baruzzo_malaria_t2r2,HISAT2,0.2912869120249297,0.2912447810880533,0.2913290456663162,446742729,130130310
baruzzo_malaria_t2r2,Subjunc,0.006162861365831331,0.006161833798003215,0.006163889061956593,22280174070,137309624
