dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t2r1,DeepSAP,0.06635613459591345,0.06620199087656052,0.0665105293348306,9999999,663561.2796029999
baruzzo_malaria_t2r1,DRAGEN,0.06637342323734233,0.06621926084592666,0.06652783663831836,9999999,663734.166
baruzzo_malaria_t2r1,novoSplice,0.06636839829683983,0.06621424133214628,0.06652280627400252,9999999,663683.9166
baruzzo_malaria_t2r1,STAR,0.06629494477989441,0.0661408671708484,0.06644927344393287,9999999,662949.3815039993
baruzzo_malaria_t2r1,HISAT2,0.06617899628139953,0.06602504404803564,0.06633319963686998,9999999,661789.8966349991
baruzzo_malaria_t2r1,Subjunc,0.06581491945409176,0.06566136178167802,0.0659687284593619,9999999,658149.1287259982
