Study	RUN_ID	Run	RunStudy	RunSpecies	Rate	Dataset	Aligner	Species	Replicate	Version	Description	CPU	RAM	Time	IO_out	IO_in	COMMAND
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t3r2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T3	malaria T3 R2	DRAGEN	malaria	2	4.0.3	default	442	7.456016541	0.910333333	8.903663635	6.152641296	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t3r2 --output-format BAM -1 baruzzo_malaria_t3r2.forward.trimmed.fastq -2 baruzzo_malaria_t3r2.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t3r2 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t3r3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T3	malaria T3 R3	DRAGEN	malaria	3	4.0.3	default	417	7.465423584	0.977166667	8.897094727	0.000106812	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t3r3 --output-format BAM -1 baruzzo_malaria_t3r3.forward.trimmed.fastq -2 baruzzo_malaria_t3r3.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t3r3 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t1r1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T1	human T1 R1	DRAGEN	human	1	4.0.3	default	710	43.21516037	6.0875	2.092773438	5.022422791	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t1r1 --output-format BAM -1 baruzzo_human_t1r1.forward.trimmed.fastq -2 baruzzo_human_t1r1.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t1r1 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t2r1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T2	human T2 R1	DRAGEN	human	1	4.0.3	default	706	42.90147018	6.1865	2.818702698	3.488929749	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t2r1 --output-format BAM -1 baruzzo_human_t2r1.forward.trimmed.fastq -2 baruzzo_human_t2r1.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t2r1 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t3r1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T3	human T3 R1	DRAGEN	human	1	4.0.3	default	689	38.73303223	6.42	8.881011963	3.908660889	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t3r1 --output-format BAM -1 baruzzo_human_t3r1.forward.trimmed.fastq -2 baruzzo_human_t3r1.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t3r1 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t1r1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T1	malaria T1 R1	DRAGEN	malaria	1	4.0.3	default	431	7.764892578	0.659833333	1.447593689	2.983154297	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t1r1 --output-format BAM -1 baruzzo_malaria_t1r1.forward.trimmed.fastq -2 baruzzo_malaria_t1r1.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t1r1 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t2r1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T2	malaria T2 R1	DRAGEN	malaria	1	4.0.3	default	417	7.314975739	0.7445	2.734367371	3.40398407	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t2r1 --output-format BAM -1 baruzzo_malaria_t2r1.forward.trimmed.fastq -2 baruzzo_malaria_t2r1.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t2r1 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t3r1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T3	malaria T3 R1	DRAGEN	malaria	1	4.0.3	default	407	7.388484955	0.977333333	8.901130676	7.163764954	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t3r1 --output-format BAM -1 baruzzo_malaria_t3r1.forward.trimmed.fastq -2 baruzzo_malaria_t3r1.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t3r1 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
SimBA	DRAGEN 4.0.3 default SimBA_human_t1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default SimBA	DRAGEN 4.0.3 default human	T1	human T1 R1	DRAGEN	human	1	4.0.3	default	704	43.77427292	6.189	4.223434448	1.345939636	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__SimBA_human_t1 --output-format BAM -1 SimBA_human_t1.reads_1_val_1.fq -2 SimBA_human_t1.reads_2_val_2.fq --enable-rna true --RGID baruzzo__default --RGSM SimBA_human_t1 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
SimBA	DRAGEN 4.0.3 default SimBA_human_t2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default SimBA	DRAGEN 4.0.3 default human	T2	human T2 R1	DRAGEN	human	1	4.0.3	default	700	43.55026245	6.219833333	4.740646362	3.644844055	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__SimBA_human_t2 --output-format BAM -1 SimBA_human_t2.reads_1_val_1.fq -2 SimBA_human_t2.reads_2_val_2.fq --enable-rna true --RGID baruzzo__default --RGSM SimBA_human_t2 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
