dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t2r2,DeepSAP,0.06643608115360809,0.0662818511155935,0.06659056216490895,9999999,664360.7450999998
baruzzo_malaria_t2r2,DRAGEN,0.06644983160498316,0.0662955867270135,0.06660432744828343,9999999,664498.2496
baruzzo_malaria_t2r2,novoSplice,0.06644867326486732,0.0662944296369449,0.06660316785879086,9999999,664486.6662
baruzzo_malaria_t2r2,STAR,0.06639262280956228,0.06623843968576061,0.0665470569318105,9999999,663926.161703
baruzzo_malaria_t2r2,HISAT2,0.06628282121828204,0.06612875671216539,0.06643713678640507,9999999,662828.1458999992
baruzzo_malaria_t2r2,Subjunc,0.06587066132766589,0.06571704315903151,0.06602453079688987,9999999,658706.5474059976
