,Biotype,JunctionScore,Count
436,transcript,64,71
437,transcript,65,58
438,transcript,66,55
439,transcript,67,63
440,transcript,68,65
441,transcript,69,44
442,transcript,70,68
443,transcript,71,49
444,transcript,72,45
445,transcript,73,67
446,transcript,74,68
447,transcript,75,51
448,transcript,76,52
449,transcript,77,71
450,transcript,78,65
451,transcript,79,84
452,transcript,80,81
453,transcript,81,109
454,transcript,82,103
455,transcript,83,105
456,transcript,84,84
457,transcript,85,105
458,transcript,86,156
459,transcript,87,163
460,transcript,88,217
461,transcript,89,245
462,transcript,90,295
463,transcript,91,370
464,transcript,92,474
465,transcript,93,595
466,transcript,94,760
467,transcript,95,1003
468,transcript,96,1451
469,transcript,97,2411
470,transcript,98,5424
471,transcript,99,25766
472,transcript,100,27167
175,lnc_RNA,0,113
176,lnc_RNA,1,51
177,lnc_RNA,2,24
178,lnc_RNA,3,19
179,lnc_RNA,4,12
180,lnc_RNA,5,12
181,lnc_RNA,6,2
182,lnc_RNA,7,4
183,lnc_RNA,8,3
184,lnc_RNA,9,4
185,lnc_RNA,10,7
186,lnc_RNA,11,3
187,lnc_RNA,12,1
188,lnc_RNA,13,4
189,lnc_RNA,14,2
190,lnc_RNA,15,2
702,lnc_RNA,16,0
191,lnc_RNA,17,1
703,lnc_RNA,18,0
192,lnc_RNA,19,2
193,lnc_RNA,20,4
194,lnc_RNA,21,6
195,lnc_RNA,22,6
196,lnc_RNA,23,2
197,lnc_RNA,24,9
198,lnc_RNA,25,4
199,lnc_RNA,26,4
200,lnc_RNA,27,2
201,lnc_RNA,28,7
202,lnc_RNA,29,3
203,lnc_RNA,30,5
204,lnc_RNA,31,5
205,lnc_RNA,32,3
206,lnc_RNA,33,5
207,lnc_RNA,34,3
208,lnc_RNA,35,3
209,lnc_RNA,36,11
210,lnc_RNA,37,8
211,lnc_RNA,38,6
212,lnc_RNA,39,10
213,lnc_RNA,40,4
214,lnc_RNA,41,15
215,lnc_RNA,42,17
216,lnc_RNA,43,18
217,lnc_RNA,44,22
218,lnc_RNA,45,21
219,lnc_RNA,46,28
220,lnc_RNA,47,30
221,lnc_RNA,48,45
222,lnc_RNA,49,114
223,lnc_RNA,50,349
224,lnc_RNA,51,250
225,lnc_RNA,52,230
226,lnc_RNA,53,231
227,lnc_RNA,54,198
228,lnc_RNA,55,150
229,lnc_RNA,56,154
230,lnc_RNA,57,141
231,lnc_RNA,58,137
232,lnc_RNA,59,123
233,lnc_RNA,60,112
234,lnc_RNA,61,102
235,lnc_RNA,62,128
236,lnc_RNA,63,80
237,lnc_RNA,64,80
238,lnc_RNA,65,79
239,lnc_RNA,66,80
240,lnc_RNA,67,90
241,lnc_RNA,68,76
242,lnc_RNA,69,71
243,lnc_RNA,70,75
244,lnc_RNA,71,66
245,lnc_RNA,72,91
246,lnc_RNA,73,84
247,lnc_RNA,74,101
248,lnc_RNA,75,95
249,lnc_RNA,76,102
250,lnc_RNA,77,101
251,lnc_RNA,78,120
252,lnc_RNA,79,121
253,lnc_RNA,80,120
254,lnc_RNA,81,154
255,lnc_RNA,82,141
256,lnc_RNA,83,158
257,lnc_RNA,84,188
258,lnc_RNA,85,226
259,lnc_RNA,86,274
260,lnc_RNA,87,331
261,lnc_RNA,88,329
262,lnc_RNA,89,423
263,lnc_RNA,90,505
264,lnc_RNA,91,578
265,lnc_RNA,92,741
266,lnc_RNA,93,975
267,lnc_RNA,94,1184
268,lnc_RNA,95,1522
269,lnc_RNA,96,2144
270,lnc_RNA,97,3568
271,lnc_RNA,98,6837
272,lnc_RNA,99,22512
273,lnc_RNA,100,10074
112,V_gene_segment,0,5
113,V_gene_segment,1,2
114,V_gene_segment,2,1
115,V_gene_segment,3,1
563,V_gene_segment,4,0
116,V_gene_segment,5,3
564,V_gene_segment,6,0
565,V_gene_segment,7,0
566,V_gene_segment,8,0
567,V_gene_segment,9,0
568,V_gene_segment,10,0
569,V_gene_segment,11,0
570,V_gene_segment,12,0
571,V_gene_segment,13,0
572,V_gene_segment,14,0
573,V_gene_segment,15,0
574,V_gene_segment,16,0
575,V_gene_segment,17,0
576,V_gene_segment,18,0
577,V_gene_segment,19,0
578,V_gene_segment,20,0
579,V_gene_segment,21,0
580,V_gene_segment,22,0
581,V_gene_segment,23,0
582,V_gene_segment,24,0
583,V_gene_segment,25,0
584,V_gene_segment,26,0
117,V_gene_segment,27,1
585,V_gene_segment,28,0
586,V_gene_segment,29,0
118,V_gene_segment,30,1
587,V_gene_segment,31,0
588,V_gene_segment,32,0
589,V_gene_segment,33,0
590,V_gene_segment,34,0
591,V_gene_segment,35,0
592,V_gene_segment,36,0
593,V_gene_segment,37,0
594,V_gene_segment,38,0
595,V_gene_segment,39,0
596,V_gene_segment,40,0
597,V_gene_segment,41,0
119,V_gene_segment,42,1
120,V_gene_segment,43,2
598,V_gene_segment,44,0
121,V_gene_segment,45,1
122,V_gene_segment,46,4
123,V_gene_segment,47,1
599,V_gene_segment,48,0
124,V_gene_segment,49,9
125,V_gene_segment,50,50
126,V_gene_segment,51,11
127,V_gene_segment,52,2
600,V_gene_segment,53,0
128,V_gene_segment,54,6
129,V_gene_segment,55,2
130,V_gene_segment,56,2
131,V_gene_segment,57,7
601,V_gene_segment,58,0
602,V_gene_segment,59,0
132,V_gene_segment,60,1
133,V_gene_segment,61,2
603,V_gene_segment,62,0
134,V_gene_segment,63,2
135,V_gene_segment,64,3
136,V_gene_segment,65,4
604,V_gene_segment,66,0
605,V_gene_segment,67,0
137,V_gene_segment,68,2
606,V_gene_segment,69,0
138,V_gene_segment,70,1
607,V_gene_segment,71,0
139,V_gene_segment,72,2
140,V_gene_segment,73,1
141,V_gene_segment,74,7
142,V_gene_segment,75,1
143,V_gene_segment,76,1
144,V_gene_segment,77,2
608,V_gene_segment,78,0
145,V_gene_segment,79,2
609,V_gene_segment,80,0
146,V_gene_segment,81,4
610,V_gene_segment,82,0
611,V_gene_segment,83,0
147,V_gene_segment,84,4
148,V_gene_segment,85,2
149,V_gene_segment,86,2
150,V_gene_segment,87,2
151,V_gene_segment,88,2
152,V_gene_segment,89,3
153,V_gene_segment,90,3
154,V_gene_segment,91,4
155,V_gene_segment,92,6
156,V_gene_segment,93,11
157,V_gene_segment,94,7
158,V_gene_segment,95,13
159,V_gene_segment,96,12
160,V_gene_segment,97,14
161,V_gene_segment,98,26
162,V_gene_segment,99,176
163,V_gene_segment,100,126
0,C_gene_segment,0,2
473,C_gene_segment,1,0
474,C_gene_segment,2,0
475,C_gene_segment,3,0
476,C_gene_segment,4,0
477,C_gene_segment,5,0
478,C_gene_segment,6,0
1,C_gene_segment,7,2
479,C_gene_segment,8,0
480,C_gene_segment,9,0
481,C_gene_segment,10,0
482,C_gene_segment,11,0
2,C_gene_segment,12,2
483,C_gene_segment,13,0
484,C_gene_segment,14,0
485,C_gene_segment,15,0
486,C_gene_segment,16,0
487,C_gene_segment,17,0
488,C_gene_segment,18,0
489,C_gene_segment,19,0
490,C_gene_segment,20,0
491,C_gene_segment,21,0
492,C_gene_segment,22,0
493,C_gene_segment,23,0
494,C_gene_segment,24,0
495,C_gene_segment,25,0
496,C_gene_segment,26,0
497,C_gene_segment,27,0
498,C_gene_segment,28,0
499,C_gene_segment,29,0
500,C_gene_segment,30,0
501,C_gene_segment,31,0
502,C_gene_segment,32,0
503,C_gene_segment,33,0
504,C_gene_segment,34,0
505,C_gene_segment,35,0
506,C_gene_segment,36,0
507,C_gene_segment,37,0
508,C_gene_segment,38,0
