dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t2r2,DeepSAP,0.1852495016005523,0.18500880243645257,0.18549038296147008,9999999,1852494.8307560214
baruzzo_human_t2r2,DRAGEN,0.17471211785321175,0.17447686301673948,0.1749475609861959,9999999,1747121.0038199998
baruzzo_human_t2r2,novoSplice,0.17136300937800078,0.17112954970488442,0.1715966592862976,9999999,1713629.9224169983
baruzzo_human_t2r2,STAR,0.16769101613220141,0.16745956205318327,0.1679226625719623,9999999,1676909.993630998
baruzzo_human_t2r2,HISAT2,0.16083830427933002,0.16061070106818773,0.1610661038179951,9999999,1608382.881954996
baruzzo_human_t2r2,Subjunc,0.16827026670692666,0.16803849361367718,0.1685022318256251,9999999,1682702.498799
