dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t2r2,DeepSAP,0.9671760010458401,0.9669589375575963,0.9673920247316138,2600780,2515412
baruzzo_malaria_t2r2,DRAGEN,0.9731262238560325,0.9729101430818623,0.9733410391942812,2164266,2106104
baruzzo_malaria_t2r2,novoSplice,0.9580751481177859,0.9578319722912229,0.9583173119588457,2620212,2510360
baruzzo_malaria_t2r2,STAR,0.9527118394169809,0.9524092698000411,0.9530130291185582,1899080,1809276
baruzzo_malaria_t2r2,HISAT2,0.9778412890983467,0.9775857886607864,0.978094638423062,1285860,1257367
baruzzo_malaria_t2r2,Subjunc,0.9649826205070645,0.9647576823050659,0.9652065144260141,2577463,2487207
