dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t2r3,DeepSAP,0.9759661530291845,0.975963944006534,0.9759683619026642,18466441662,18022622029
baruzzo_human_t2r3,DRAGEN,0.9200156569395064,0.9200117443534517,0.9200195693939002,18466441662,16989415457
baruzzo_human_t2r3,novoSplice,0.902981112507088,0.9029768434653683,0.9029853814224866,18466441662,16674848036
baruzzo_human_t2r3,STAR,0.8779428652657988,0.8779381438023309,0.8779475866107942,18466441662,16212480704
baruzzo_human_t2r3,HISAT2,0.8361778206450438,0.8361724824249464,0.8361831587592051,18466441662,15441228944
baruzzo_human_t2r3,Subjunc,0.880675468759402,0.8806707931865021,0.8806801442129727,18466441662,16262942167
