dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t2r3,DeepSAP,0.9824662092901353,0.982445324543812,0.9824870756445198,151849651,149187151
baruzzo_malaria_t2r3,DRAGEN,0.9212111524708081,0.9211682942120843,0.9212539946726945,151849651,139885592
baruzzo_malaria_t2r3,novoSplice,0.9264239665588695,0.9263824329884995,0.9264654838736517,151849651,140677156
baruzzo_malaria_t2r3,STAR,0.9039931543866373,0.9039462896450179,0.9040400037277638,151849651,137271045
baruzzo_malaria_t2r3,HISAT2,0.8570569450963045,0.85700126747827,0.8571126091030861,151849651,130143798
baruzzo_malaria_t2r3,Subjunc,0.9084668426402903,0.9084209694791954,0.9085127002303521,151849651,137950373
