dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t3r2,DeepSAP,0.9932246063276144,0.9932233562999759,0.993225856182701,16546224385,16434117201
baruzzo_human_t3r2,DRAGEN,0.983234237416865,0.9832321735575965,0.9832363010879529,14868115349,14618840057
baruzzo_human_t3r2,novoSplice,0.9965999504091234,0.9965989890601935,0.996600911553997,14087450115,14039552086
baruzzo_human_t3r2,STAR,0.853124116307125,0.8531166379043879,0.8531315944723714,8607062720,7342892777
baruzzo_human_t3r2,HISAT2,0.7974477450261085,0.7974259179720535,0.797469570758218,1302481466,1038660908
baruzzo_human_t3r2,Subjunc,0.7789312097962294,0.7789209003176931,0.778941519015341,6223866009,4847963480
