dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t1r2,DeepSAP,0.9962883805312928,0.9962874970424834,0.9962892638622455,18202044571,18134485508
baruzzo_human_t1r2,DRAGEN,0.9984330349460729,0.9984324427620433,0.998433626961798,17142908154,17116045816
baruzzo_human_t1r2,novoSplice,0.9998872892327957,0.9998871288391765,0.9998874494546467,16846269856,16844371100
baruzzo_human_t1r2,STAR,0.9964649522637737,0.9964640634032134,0.9964658409565627,17130427230,17069870352
baruzzo_human_t1r2,HISAT2,0.9949112743292798,0.9949102261752946,0.9949123223214589,17705428398,17615330330
baruzzo_human_t1r2,Subjunc,0.9417801663342237,0.9417768064710204,0.941783526060461,18659120365,17572789481
