dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t1r2,DeepSAP,0.1897170110832031,0.18947409344569152,0.1899601083314774,9999999,1897169.9211150198
baruzzo_human_t1r2,DRAGEN,0.18976731973693275,0.18952437741196523,0.19001044164352887,9999999,1897673.0076020078
baruzzo_human_t1r2,novoSplice,0.18989063558906358,0.1896476327781091,0.19013381791028863,9999999,1898906.1660000002
baruzzo_human_t1r2,STAR,0.18981439437214032,0.18957142895262885,0.19005753934604305,9999999,1898143.7539070088
baruzzo_human_t1r2,HISAT2,0.18952153391325505,0.18927871226200318,0.18976453528842377,9999999,1895215.1496110165
baruzzo_human_t1r2,Subjunc,0.18870945197234762,0.1884670301366098,0.18895205400209727,9999999,1887094.3310140243
