dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t2r1,DeepSAP,0.9691343920018007,0.968820816564067,0.9694456607117059,1177265,1140928
baruzzo_human_t2r1,DRAGEN,0.9718160359925295,0.9714926695073726,0.9721367107732279,1014655,986058
baruzzo_human_t2r1,novoSplice,0.9604705414564569,0.9601046204328627,0.9608340316361219,1096524,1053179
baruzzo_human_t2r1,STAR,0.9540439067633102,0.9535736127443379,0.9545107744443132,767080,731828
baruzzo_human_t2r1,HISAT2,0.9793595110687834,0.9789924224481934,0.9797218467102015,583804,571754
baruzzo_human_t2r1,Subjunc,0.9682865668160214,0.9679466448756918,0.9686238540976199,1028870,996241
