dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t1r2,DeepSAP,0.06654334278443427,0.06638899703625693,0.06669793944381222,9999999,665433.3613009999
baruzzo_malaria_t1r2,DRAGEN,0.06655185657518566,0.06639750164755534,0.06670646240908437,9999999,665518.4992
baruzzo_malaria_t1r2,novoSplice,0.06655500665550067,0.06640064833168599,0.0667096158837642,9999999,665550.0
baruzzo_malaria_t1r2,STAR,0.06652747297274728,0.06637314433710968,0.06668205252876408,9999999,665274.6631999998
baruzzo_malaria_t1r2,HISAT2,0.0664897223789722,0.06633543446023789,0.06664426123994198,9999999,664897.1572999996
baruzzo_malaria_t1r2,Subjunc,0.06628985375938523,0.06613578165244333,0.06644417692427047,9999999,662898.4713039985
