dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t1r2,DeepSAP,0.9817094919049028,0.9817075594547243,0.98171142420418,18472354253,18134485508
baruzzo_human_t1r2,DRAGEN,0.9265763086597514,0.9265725472263412,0.9265800699596828,18472354253,17116045816
baruzzo_human_t1r2,novoSplice,0.9118692111085078,0.9118651229860592,0.9118732991021034,18472354253,16844371100
baruzzo_human_t1r2,STAR,0.9240766021595634,0.9240727823972475,0.9240804217887892,18472354253,17069870352
baruzzo_human_t1r2,HISAT2,0.9536050515672189,0.9536020182573665,0.9536080847348383,18472354253,17615330330
baruzzo_human_t1r2,Subjunc,0.9513021047734668,0.951299000848775,0.9513052085568001,18472354253,17572789481
