dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t1r3,DeepSAP,0.8483413726260474,0.8475422166579767,0.8491379314517997,776395,658648
baruzzo_malaria_t1r3,DRAGEN,0.7160581920285422,0.7150544003795631,0.7170603728037733,776395,555944
baruzzo_malaria_t1r3,novoSplice,0.8335254606224924,0.8326956272858942,0.8343528072802635,776395,647145
baruzzo_malaria_t1r3,STAR,0.7362128813297355,0.735231755723511,0.737192245794104,776395,571592
baruzzo_malaria_t1r3,HISAT2,0.6474088576046987,0.6463455581143425,0.648471058052871,776395,502645
baruzzo_malaria_t1r3,Subjunc,0.889451889824123,0.8887529391394994,0.8901479368575693,776395,690566
