,Run,Dataset,Percision_Read,Recall_Read,Percision_Base,Recall_Base,Percision_Junction,Recall_Junction,Percision_Skipping,Recall_Skipping,Percision_Deletion,Recall_Deletion,Percision_Insertion,Recall_Insertion
42,HISAT2 2.2.1 default,human T3 R3,99.49,22.74,99.42,22.49,92.5001,5.72,79.43,5.52,95.9,0.870000000000005,95.3,0.880099999999999
43,HISAT2 2.2.1 default,malaria T1 R2,99.98,97.13,99.92,96.83,97.7701,95.1501,65.81,96.5401,94.9501,64.14,98.72,61.56
44,HISAT2 2.2.1 default,malaria T1 R3,99.98,97.12,99.9,96.81,97.5601,95.1301,45.08,96.49,95.0201,64.74,98.5401,62.93
45,HISAT2 2.2.1 default,malaria T2 R2,99.94,86.32,99.74,85.85,96.29,84.5301,29.12,85.63,96.2501,39.41,97.7801,39.76
46,HISAT2 2.2.1 default,malaria T2 R3,99.94,86.44,99.73,85.97,95.41,84.2401,26.66,85.7,96.3301,39.57,97.7701,39.93
47,HISAT2 2.2.1 default,malaria T3 R2,99.88,5.89,99.59,5.83,94.56,6.01,12.51,6.09,94.78,0.799999999999997,96.09,0.829999999999998
48,HISAT2 2.2.1 default,malaria T3 R3,99.88,5.94,99.61,5.88,94.4101,5.69,11.1801,5.86,95.18,0.810000000000002,95.9301,0.859999999999999
209,HISAT2 2.2.1 default,human T1 R1,99.86,97.1,99.83,96.95,99.4901,94.8201,99.4701,95.5201,98.8,67.21,98.6701,64.5901
210,HISAT2 2.2.1 default,human T2 R1,99.8,91.39,99.73,91.15,99.04,83.9,98.82,84.32,97.8701,41.41,97.93,40.19
211,HISAT2 2.2.1 default,human T3 R1,99.48,22.73,99.41,22.48,92.44,5.69,79.68,5.63,95.9601,0.849999999999994,95.1501,0.880099999999999
212,HISAT2 2.2.1 default,malaria T1 R1,99.98,97.1,99.91,96.79,97.51,94.7101,45.65,96.28,94.7501,63.44,98.3701,61.38
213,HISAT2 2.2.1 default,malaria T2 R1,99.94,86.28,99.73,85.81,95.66,84.0301,29.5701,85.3601,96.17,39.36,97.62,39.02
214,HISAT2 2.2.1 default,malaria T3 R1,99.89,5.88,99.6,5.81,94.07,5.74,12.21,5.7101,94.9301,0.790099999999995,96.1301,0.819999999999993
49,STAR 2.7.10a default,human T1 R2,99.9,97.81,99.84,97.56,99.92,92.28,99.64,92.4001,98.19,71.5,98.0501,61.01
50,STAR 2.7.10a default,human T1 R3,99.9,97.81,99.84,97.57,99.92,92.36,99.63,92.5301,98.11,71.9,97.93,60.9801
51,STAR 2.7.10a default,human T2 R2,99.85,97.36,99.58,96.54,99.7901,87.7601,98.5801,88.02,95.3401,61.5901,95.4401,51.74
52,STAR 2.7.10a default,human T2 R3,99.85,97.36,99.58,96.54,99.8,87.73,98.59,87.7901,95.28,61.5,95.4,51.7
53,STAR 2.7.10a default,human T3 R2,99.55,81.27,98.89,75.76,98.9701,40.12,85.31,39.61,82.35,16.06,83.48,13.62
54,STAR 2.7.10a default,human T3 R3,99.56,81.24,98.89,75.73,98.9501,40.19,85.29,39.8,82.25,15.97,83.46,13.64
55,STAR 2.7.10a default,malaria T1 R2,99.99,97.76,99.88,97.37,99.62,94,22.5701,93.5101,97.31,73.7601,97.8601,65.12
56,STAR 2.7.10a default,malaria T1 R3,99.99,97.75,99.87,97.34,99.6901,94.1201,24.5401,93.59,97.41,73.62,97.8,64.2701
57,STAR 2.7.10a default,malaria T2 R2,99.99,96.61,99.31,95.27,98.4401,90.84,5.05,90.3001,93.9301,65.39,95.27,57.2201
58,STAR 2.7.10a default,malaria T2 R3,99.99,96.64,99.31,95.31,98.41,90.72,5.17,90.3901,94.06,65.35,95.11,57
59,STAR 2.7.10a default,malaria T3 R2,99.88,71.34,97.61,62.88,80.5201,51.8701,0.189999999999998,51.74,77.6801,22.17,82.56,20.48
60,STAR 2.7.10a default,malaria T3 R3,99.88,71.26,97.63,62.82,80.3101,50.92,0.189999999999998,51.46,78.6801,22.44,83.25,20.9
233,STAR 2.7.10a default,human T1 R1,99.9,97.81,99.84,97.56,99.91,92.2901,99.5901,92.3301,98.1801,71.2301,98.11,61.06
234,STAR 2.7.10a default,human T2 R1,99.85,97.36,99.57,96.53,99.7701,87.71,98.6601,88.03,95.07,61.19,95.4,51.45
235,STAR 2.7.10a default,human T3 R1,99.55,81.26,98.89,75.75,98.9601,40.12,85.1501,39.79,82.37,15.97,83.47,13.72
236,STAR 2.7.10a default,malaria T1 R1,99.99,97.76,99.87,97.35,99.6601,93.9301,24.81,93.4301,96.99,72.72,98.0501,65.07
237,STAR 2.7.10a default,malaria T2 R1,99.99,96.62,99.31,95.29,98.4801,90.5801,4.83,90.16,94.1101,65.4801,95.1501,56.7101
238,STAR 2.7.10a default,malaria T3 R1,99.88,71.24,97.62,62.78,80.6301,51.4801,0.189999999999998,51.34,77.8101,22.09,82.94,20.55
61,Subjunc 2.0.1 default,human T1 R2,99.31,92.69,99.31,92.48,99.0501,95.2301,94.17,95.1301,97.83,81.7301,97.91,77.4701
62,Subjunc 2.0.1 default,human T1 R3,99.31,92.69,99.31,92.48,99.0601,95.3,94.3,95.38,97.92,82.0401,98.13,78.47
63,Subjunc 2.0.1 default,human T2 R2,99.23,89.51,99.17,88.88,98.4401,88.1601,92.8101,88.4601,96.41,74.48,96.8401,70.3
64,Subjunc 2.0.1 default,human T2 R3,99.23,89.5,99.18,88.87,98.52,88.1901,92.9101,88.0601,96.51,73.87,96.89,70.38
65,Subjunc 2.0.1 default,human T3 R2,98.33,46.16,98.12,42.13,95.9301,26.26,77.8901,26.15,80.17,12.47,82.36,12.61
66,Subjunc 2.0.1 default,human T3 R3,98.32,46.17,98.13,42.13,95.89,26.26,77.23,26.39,80.5201,12.42,82.46,12.7901
67,Subjunc 2.0.1 default,malaria T1 R2,99.57,97.71,99.6,97.36,92.68,97.83,1.05,97.5401,95.7301,88.31,97.8401,83.0301
68,Subjunc 2.0.1 default,malaria T1 R3,99.56,97.7,99.59,97.35,92.74,98.1,1,97.6401,95.91,88.94,97.41,85.73
69,Subjunc 2.0.1 default,malaria T2 R2,99.51,93.05,99.4,92.19,87.1601,90.6201,0.609999999999999,90.36,94.87,80.48,96.49,78.66
70,Subjunc 2.0.1 default,malaria T2 R3,99.49,93.1,99.37,92.23,87.11,90.6801,0.579999999999998,90.84,94.68,80.88,96.0301,78.02
71,Subjunc 2.0.1 default,malaria T3 R2,93.4,25.9,93.96,22.15,47.7,26.76,0.0700999999999965,27.05,73.3501,13.77,80.78,14.6601
72,Subjunc 2.0.1 default,malaria T3 R3,93.3,26.02,93.89,22.27,46.52,26.02,0.0700999999999965,26.8,72.9401,13.5,80.9101,14.92
305,Subjunc 2.0.1 default,human T1 R1,99.32,92.7,99.31,92.48,99.0501,95.21,94.3501,95.3,97.8401,81.1301,97.9401,76.4701
306,Subjunc 2.0.1 default,human T2 R1,99.23,89.48,99.17,88.85,98.52,88.1601,92.5301,88.41,96.3601,73.57,96.82,70.04
307,Subjunc 2.0.1 default,human T3 R1,98.32,46.14,98.12,42.1,95.77,26.17,76.4701,26.58,80.2001,12.34,82.25,12.78
308,Subjunc 2.0.1 default,malaria T1 R1,99.56,97.7,99.59,97.34,92.68,97.5401,1.03,97.39,95.67,87.44,97.83,85.01
309,Subjunc 2.0.1 default,malaria T2 R1,99.52,93.08,99.39,92.2,87.02,90.86,0.609999999999999,90.77,94.2,80.84,96.1301,77.35
310,Subjunc 2.0.1 default,malaria T3 R1,93.18,25.88,93.78,22.11,46.3101,26.01,0.0700999999999965,26.3801,73.33,13.53,81.26,14.67
73,novoSplice 0.8.4 default,human T1 R2,99.91,96.08,99.89,95.91,99.9901,90.02,99.9801,91.1801,98.0701,78.0101,97.92,76.8801
74,novoSplice 0.8.4 default,human T1 R3,99.91,96.09,99.89,95.91,99.9901,90.07,99.9801,91.1101,98.11,78.3001,98.1801,76.7901
