dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t1r3,DeepSAP,0.9985765026882106,0.9985704529664258,0.9985825331277867,149675028,149461966
baruzzo_malaria_t1r3,DRAGEN,0.9714855620024568,0.9714584179744393,0.9715126871465707,144527660,140406535
baruzzo_malaria_t1r3,novoSplice,0.9999992413979975,0.9999990871870297,0.9999993750981376,141048929,141048822
baruzzo_malaria_t1r3,STAR,0.2454754347450866,0.24544034146837196,0.24551053057230152,577694453,141809797
baruzzo_malaria_t1r3,HISAT2,0.4508374997115468,0.4507833469260185,0.4508916533745606,324316052,146213838
baruzzo_malaria_t1r3,Subjunc,0.010079927060948837,0.010078311126225812,0.01008154318888899,14677569600,147948831
