"Run","Dataset","RUN_ID","Study","Species","Rate","Replicate","TP_splice","FN_splice","FP_splice"
"DRAGEN 4.0.3 default","human T2 R1","DRAGEN 4.0.3 default SimBA_human_t2","SimBA","human","T2",1,56291,1258,744
"DeepSAP MS150","human T2 R1","DeepSAP v0.0.1 MS150 SimBA_human_t2","SimBA","human","T2",1,56944,605,938
"HISAT2 2.2.1 default","human T2 R1","HISAT2 2.2.1 default SimBA_human_t2","SimBA","human","T2",1,56664,885,4299
"STAR 2.7.10a default","human T2 R1","STAR 2.7.10a default SimBA_human_t2","SimBA","human","T2",1,56315,1234,1284
"Subjunc 2.0.1 default","human T2 R1","Subjunc 2.0.1 default SimBA_human_t2","SimBA","human","T2",1,56842,707,4288
"novoSplice 0.8.4 default","human T2 R1","novoSplice 0.8.4 default SimBA_human_t2","SimBA","human","T2",1,56607,942,447
