dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t3r1,DeepSAP,0.7792001134764437,0.7787120339728719,0.779687611132405,2777669,2164360
baruzzo_human_t3r1,DRAGEN,0.8409953884868091,0.8404857683116336,0.8415040126436881,1981779,1666667
baruzzo_human_t3r1,novoSplice,0.7862241025686311,0.7856759221516678,0.7867715129405671,2151613,1691650
baruzzo_human_t3r1,STAR,0.8347910706748581,0.8338474494867028,0.8357314459216977,597044,498407
baruzzo_human_t3r1,HISAT2,0.9515515396504577,0.9492182822760022,0.9538071110681052,33644,32014
baruzzo_human_t3r1,Subjunc,0.8225750121880956,0.8215764050654634,0.8235703090138459,564075,463994
