dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_human_t1r3,DeepSAP,0.9773256353849454,0.9767991002086978,0.9778433229755564,312291,305210
baruzzo_human_t1r3,DRAGEN,0.9856974730703207,0.9852416530650286,0.9861427555918734,266806,262990
baruzzo_human_t1r3,novoSplice,0.9811766634825133,0.9806688119641428,0.9816745871953011,280556,275275
baruzzo_human_t1r3,STAR,0.9811217499640987,0.9805908291760058,0.9816418616184226,257651,252787
baruzzo_human_t1r3,HISAT2,0.988556544134863,0.9881243557467659,0.9889769086021197,239176,236439
baruzzo_human_t1r3,Subjunc,0.9792180895309556,0.9786981861002947,0.9797285748203322,294535,288414
