,Run,Dataset,Percision_Read,Recall_Read,Percision_Base,Recall_Base,Percision_Junction,Recall_Junction,Percision_Skipping,Recall_Skipping,Percision_Deletion,Recall_Deletion,Percision_Insertion,Recall_Insertion
71,Subjunc 2.0.1 default,malaria T3 R2,93.4,25.9,93.96,22.15,47.7,26.76,0.0700999999999965,27.05,73.3501,13.77,80.78,14.6601
72,Subjunc 2.0.1 default,malaria T3 R3,93.3,26.02,93.89,22.27,46.52,26.02,0.0700999999999965,26.8,72.9401,13.5,80.9101,14.92
308,Subjunc 2.0.1 default,malaria T1 R1,99.56,97.7,99.59,97.34,92.68,97.5401,1.03,97.39,95.67,87.44,97.83,85.01
309,Subjunc 2.0.1 default,malaria T2 R1,99.52,93.08,99.39,92.2,87.02,90.86,0.609999999999999,90.77,94.2,80.84,96.1301,77.35
310,Subjunc 2.0.1 default,malaria T3 R1,93.18,25.88,93.78,22.11,46.3101,26.01,0.0700999999999965,26.3801,73.33,13.53,81.26,14.67
79,novoSplice 0.8.4 default,malaria T1 R2,99.99,97.22,99.95,96.92,100,93.3201,100,93.0301,96.98,83.7,97.9401,82.49
80,novoSplice 0.8.4 default,malaria T1 R3,99.99,97.22,99.95,96.91,99.9901,93.36,99.9901,93.08,96.8301,83.35,97.7,81.5101
81,novoSplice 0.8.4 default,malaria T2 R2,99.99,96.75,99.75,96.07,99.9901,92.8001,99.9901,92.4101,94.18,80.08,95.8,79.3901
82,novoSplice 0.8.4 default,malaria T2 R3,99.99,96.81,99.75,96.13,99.9801,92.88,99.9901,92.64,93.97,79.94,95.36,78.9901
83,novoSplice 0.8.4 default,malaria T3 R2,99.98,84.95,98.6,79.29,99.93,78.26,99.9,77.8001,74.0701,48.68,78.6,48.1
84,novoSplice 0.8.4 default,malaria T3 R3,99.98,84.86,98.62,79.23,99.93,77.62,99.9,77.67,74.4901,48.83,79.35,48.7401
314,novoSplice 0.8.4 default,malaria T1 R1,99.99,97.23,99.95,96.91,100,93.3201,100,93.0201,96.6401,82.3301,97.9501,82.2201
315,novoSplice 0.8.4 default,malaria T2 R1,99.99,96.77,99.73,96.07,99.9801,92.88,99.9901,92.59,93.6101,79.62,95.19,78.23
316,novoSplice 0.8.4 default,malaria T3 R1,99.98,84.9,98.58,79.22,99.9601,77.85,99.8701,77.4901,73.91,48.5901,79.3101,48.68
