dataset,aligner,theta,ci_lower,ci_upper,n,k
baruzzo_malaria_t1r2,DeepSAP,0.9987201494799595,0.9987144277582093,0.998725852018228,150488668,150296065
baruzzo_malaria_t1r2,DRAGEN,0.9748283351329661,0.9748028123836388,0.9748538389018356,144811955,141166797
baruzzo_malaria_t1r2,novoSplice,1.0,0.9999999822768515,0.9999999999965354,141732326,141732326
baruzzo_malaria_t1r2,STAR,0.2257018570275343,0.22566924538131236,0.2257344711893279,631190695,142460912
baruzzo_malaria_t1r2,HISAT2,0.6581623448128189,0.6581001530155536,0.6582245325129825,223466025,147076923
baruzzo_malaria_t1r2,Subjunc,0.010588520065835499,0.010586826741232814,0.010590213592308514,14033829192,148597482
