,Biotype,JunctionScore,Count
466,transcript,58,1345
467,transcript,59,1414
468,transcript,60,1442
469,transcript,61,1557
470,transcript,62,1573
471,transcript,63,1527
472,transcript,64,1552
473,transcript,65,1681
474,transcript,66,1583
475,transcript,67,1609
476,transcript,68,1614
477,transcript,69,1675
478,transcript,70,1651
479,transcript,71,1723
480,transcript,72,1598
481,transcript,73,1640
482,transcript,74,1543
483,transcript,75,1624
484,transcript,76,1527
485,transcript,77,1488
486,transcript,78,1486
487,transcript,79,1377
488,transcript,80,1282
489,transcript,81,1237
490,transcript,82,1210
491,transcript,83,1081
492,transcript,84,1007
493,transcript,85,953
494,transcript,86,874
495,transcript,87,752
496,transcript,88,666
497,transcript,89,695
498,transcript,90,635
499,transcript,91,534
500,transcript,92,410
501,transcript,93,471
502,transcript,94,458
503,transcript,95,498
504,transcript,96,418
505,transcript,97,461
506,transcript,98,606
507,transcript,99,700
508,transcript,100,240
204,lnc_RNA,0,141
205,lnc_RNA,1,40
206,lnc_RNA,2,15
207,lnc_RNA,3,11
208,lnc_RNA,4,19
209,lnc_RNA,5,9
210,lnc_RNA,6,17
211,lnc_RNA,7,13
212,lnc_RNA,8,10
213,lnc_RNA,9,14
214,lnc_RNA,10,19
215,lnc_RNA,11,18
216,lnc_RNA,12,17
217,lnc_RNA,13,26
218,lnc_RNA,14,29
219,lnc_RNA,15,27
220,lnc_RNA,16,23
221,lnc_RNA,17,37
222,lnc_RNA,18,29
223,lnc_RNA,19,34
224,lnc_RNA,20,56
225,lnc_RNA,21,65
226,lnc_RNA,22,65
227,lnc_RNA,23,60
228,lnc_RNA,24,71
229,lnc_RNA,25,71
230,lnc_RNA,26,62
231,lnc_RNA,27,99
232,lnc_RNA,28,101
233,lnc_RNA,29,115
234,lnc_RNA,30,125
235,lnc_RNA,31,147
236,lnc_RNA,32,151
237,lnc_RNA,33,160
238,lnc_RNA,34,193
239,lnc_RNA,35,239
240,lnc_RNA,36,254
241,lnc_RNA,37,294
242,lnc_RNA,38,342
243,lnc_RNA,39,370
244,lnc_RNA,40,423
245,lnc_RNA,41,412
246,lnc_RNA,42,445
247,lnc_RNA,43,506
248,lnc_RNA,44,539
249,lnc_RNA,45,588
250,lnc_RNA,46,667
251,lnc_RNA,47,701
252,lnc_RNA,48,723
253,lnc_RNA,49,742
254,lnc_RNA,50,791
255,lnc_RNA,51,839
256,lnc_RNA,52,902
257,lnc_RNA,53,953
258,lnc_RNA,54,990
259,lnc_RNA,55,1105
260,lnc_RNA,56,1075
261,lnc_RNA,57,1099
262,lnc_RNA,58,1091
263,lnc_RNA,59,1249
264,lnc_RNA,60,1335
265,lnc_RNA,61,1378
266,lnc_RNA,62,1320
267,lnc_RNA,63,1410
268,lnc_RNA,64,1408
269,lnc_RNA,65,1489
270,lnc_RNA,66,1537
271,lnc_RNA,67,1541
272,lnc_RNA,68,1509
273,lnc_RNA,69,1593
274,lnc_RNA,70,1620
275,lnc_RNA,71,1571
276,lnc_RNA,72,1538
277,lnc_RNA,73,1551
278,lnc_RNA,74,1526
279,lnc_RNA,75,1495
280,lnc_RNA,76,1440
281,lnc_RNA,77,1407
282,lnc_RNA,78,1350
283,lnc_RNA,79,1139
284,lnc_RNA,80,1136
285,lnc_RNA,81,1067
286,lnc_RNA,82,887
287,lnc_RNA,83,821
288,lnc_RNA,84,809
289,lnc_RNA,85,676
290,lnc_RNA,86,601
291,lnc_RNA,87,496
292,lnc_RNA,88,420
293,lnc_RNA,89,339
294,lnc_RNA,90,309
295,lnc_RNA,91,236
296,lnc_RNA,92,217
297,lnc_RNA,93,182
298,lnc_RNA,94,174
299,lnc_RNA,95,150
300,lnc_RNA,96,126
301,lnc_RNA,97,106
302,lnc_RNA,98,83
303,lnc_RNA,99,44
304,lnc_RNA,100,21
104,V_gene_segment,0,7
105,V_gene_segment,1,1
106,V_gene_segment,2,2
607,V_gene_segment,3,0
608,V_gene_segment,4,0
609,V_gene_segment,5,0
107,V_gene_segment,6,2
610,V_gene_segment,7,0
611,V_gene_segment,8,0
612,V_gene_segment,9,0
613,V_gene_segment,10,0
614,V_gene_segment,11,0
108,V_gene_segment,12,2
615,V_gene_segment,13,0
109,V_gene_segment,14,1
616,V_gene_segment,15,0
617,V_gene_segment,16,0
618,V_gene_segment,17,0
619,V_gene_segment,18,0
620,V_gene_segment,19,0
621,V_gene_segment,20,0
622,V_gene_segment,21,0
623,V_gene_segment,22,0
110,V_gene_segment,23,1
624,V_gene_segment,24,0
111,V_gene_segment,25,2
112,V_gene_segment,26,4
113,V_gene_segment,27,4
625,V_gene_segment,28,0
626,V_gene_segment,29,0
627,V_gene_segment,30,0
628,V_gene_segment,31,0
629,V_gene_segment,32,0
630,V_gene_segment,33,0
631,V_gene_segment,34,0
114,V_gene_segment,35,1
115,V_gene_segment,36,5
632,V_gene_segment,37,0
116,V_gene_segment,38,1
117,V_gene_segment,39,5
118,V_gene_segment,40,6
119,V_gene_segment,41,3
120,V_gene_segment,42,1
121,V_gene_segment,43,8
122,V_gene_segment,44,2
633,V_gene_segment,45,0
123,V_gene_segment,46,5
124,V_gene_segment,47,5
125,V_gene_segment,48,6
126,V_gene_segment,49,4
127,V_gene_segment,50,3
128,V_gene_segment,51,4
129,V_gene_segment,52,5
130,V_gene_segment,53,1
131,V_gene_segment,54,1
132,V_gene_segment,55,4
133,V_gene_segment,56,1
634,V_gene_segment,57,0
134,V_gene_segment,58,1
135,V_gene_segment,59,5
136,V_gene_segment,60,1
137,V_gene_segment,61,2
138,V_gene_segment,62,4
139,V_gene_segment,63,1
140,V_gene_segment,64,2
141,V_gene_segment,65,2
635,V_gene_segment,66,0
636,V_gene_segment,67,0
142,V_gene_segment,68,5
143,V_gene_segment,69,1
144,V_gene_segment,70,5
145,V_gene_segment,71,7
146,V_gene_segment,72,6
147,V_gene_segment,73,3
148,V_gene_segment,74,2
149,V_gene_segment,75,4
150,V_gene_segment,76,7
151,V_gene_segment,77,8
152,V_gene_segment,78,5
153,V_gene_segment,79,4
154,V_gene_segment,80,9
155,V_gene_segment,81,7
156,V_gene_segment,82,14
157,V_gene_segment,83,9
158,V_gene_segment,84,3
159,V_gene_segment,85,6
160,V_gene_segment,86,7
161,V_gene_segment,87,4
162,V_gene_segment,88,10
163,V_gene_segment,89,7
164,V_gene_segment,90,7
165,V_gene_segment,91,4
166,V_gene_segment,92,18
167,V_gene_segment,93,18
168,V_gene_segment,94,25
169,V_gene_segment,95,21
170,V_gene_segment,96,20
171,V_gene_segment,97,37
172,V_gene_segment,98,70
173,V_gene_segment,99,71
174,V_gene_segment,100,21
0,C_gene_segment,0,6
509,C_gene_segment,1,0
510,C_gene_segment,2,0
511,C_gene_segment,3,0
512,C_gene_segment,4,0
513,C_gene_segment,5,0
514,C_gene_segment,6,0
515,C_gene_segment,7,0
516,C_gene_segment,8,0
517,C_gene_segment,9,0
518,C_gene_segment,10,0
519,C_gene_segment,11,0
520,C_gene_segment,12,0
521,C_gene_segment,13,0
522,C_gene_segment,14,0
523,C_gene_segment,15,0
524,C_gene_segment,16,0
525,C_gene_segment,17,0
526,C_gene_segment,18,0
527,C_gene_segment,19,0
528,C_gene_segment,20,0
529,C_gene_segment,21,0
530,C_gene_segment,22,0
531,C_gene_segment,23,0
532,C_gene_segment,24,0
533,C_gene_segment,25,0
534,C_gene_segment,26,0
535,C_gene_segment,27,0
536,C_gene_segment,28,0
537,C_gene_segment,29,0
538,C_gene_segment,30,0
539,C_gene_segment,31,0
540,C_gene_segment,32,0
541,C_gene_segment,33,0
542,C_gene_segment,34,0
543,C_gene_segment,35,0
544,C_gene_segment,36,0
545,C_gene_segment,37,0
546,C_gene_segment,38,0
547,C_gene_segment,39,0
1,C_gene_segment,40,2
2,C_gene_segment,41,2
548,C_gene_segment,42,0
549,C_gene_segment,43,0
550,C_gene_segment,44,0
551,C_gene_segment,45,0
552,C_gene_segment,46,0
3,C_gene_segment,47,1
553,C_gene_segment,48,0
4,C_gene_segment,49,2
5,C_gene_segment,50,3
554,C_gene_segment,51,0
