,Run,Dataset,Percision_Read,Recall_Read,Percision_Base,Recall_Base,Percision_Junction,Recall_Junction,Percision_Skipping,Recall_Skipping,Percision_Deletion,Recall_Deletion,Percision_Insertion,Recall_Insertion
305,Subjunc 2.0.1 default,human T1 R1,99.32,92.7,99.31,92.48,99.0501,95.21,94.3501,95.3,97.8401,81.1301,97.9401,76.4701
306,Subjunc 2.0.1 default,human T2 R1,99.23,89.48,99.17,88.85,98.52,88.1601,92.5301,88.41,96.3601,73.57,96.82,70.04
307,Subjunc 2.0.1 default,human T3 R1,98.32,46.14,98.12,42.1,95.77,26.17,76.4701,26.58,80.2001,12.34,82.25,12.78
73,novoSplice 0.8.4 default,human T1 R2,99.91,96.08,99.89,95.91,99.9901,90.02,99.9801,91.1801,98.0701,78.0101,97.92,76.8801
74,novoSplice 0.8.4 default,human T1 R3,99.91,96.09,99.89,95.91,99.9901,90.07,99.9801,91.1101,98.11,78.3001,98.1801,76.7901
75,novoSplice 0.8.4 default,human T2 R2,99.89,95.37,99.81,95.01,99.9701,89.0801,99.9601,90.35,95.8301,75.2701,95.99,73.91
76,novoSplice 0.8.4 default,human T2 R3,99.89,95.36,99.81,95.01,99.9701,89.0901,99.9701,90.2901,95.91,75.2,96.1501,74.0601
77,novoSplice 0.8.4 default,human T3 R2,99.77,88.93,99.21,84.1,99.91,74.59,99.6501,75.75,76.9001,48.9301,78.6101,46.43
78,novoSplice 0.8.4 default,human T3 R3,99.77,88.91,99.21,84.08,99.91,74.53,99.6801,75.5601,77.16,48.97,78.65,46.55
311,novoSplice 0.8.4 default,human T1 R1,99.91,96.1,99.89,95.92,99.9901,90.0101,99.9801,91.15,97.9601,78.4001,97.82,76.7801
312,novoSplice 0.8.4 default,human T2 R1,99.89,95.38,99.81,95.02,99.9701,89.12,99.9601,90.32,95.71,74.94,96.0401,74.04
313,novoSplice 0.8.4 default,human T3 R1,99.77,88.92,99.21,84.1,99.91,74.59,99.71,75.8801,76.9701,48.86,78.62,46.59
